"Date_evenement","Zone","Communes_a_envoi_dematerialise_Deces2020","Total_deces_2020","Communes_a_envoi_dematerialise_Deces2019","Total_deces_2019","Communes_a_envoi_dematerialise_Deces2018","Total_deces_2018"
"01/03/2020","Dept_01",11,15,12,15,10,13
"02/03/2020","Dept_01",18,23,26,34,25,29
"03/03/2020","Dept_01",30,37,37,46,38,48
"04/03/2020","Dept_01",38,47,46,56,51,62
"05/03/2020","Dept_01",51,62,58,72,69,83
"06/03/2020","Dept_01",64,76,64,82,82,97
"07/03/2020","Dept_01",77,93,72,91,98,115
"08/03/2020","Dept_01",88,104,82,103,109,128
"09/03/2020","Dept_01",100,116,89,112,118,141
"10/03/2020","Dept_01",113,131,101,124,129,155
"11/03/2020","Dept_01",124,143,114,139,134,161
"12/03/2020","Dept_01",130,151,118,144,149,178
"13/03/2020","Dept_01",146,169,127,155,161,192
"14/03/2020","Dept_01",158,182,142,171,170,203
"15/03/2020","Dept_01",176,202,153,183,182,216
"16/03/2020","Dept_01",184,211,164,195,190,225
"17/03/2020","Dept_01",202,229,175,207,201,237
"18/03/2020","Dept_01",216,247,182,217,212,255
"19/03/2020","Dept_01",233,266,188,228,225,272
"20/03/2020","Dept_01",239,274,199,241,236,283
"21/03/2020","Dept_01",251,293,209,252,252,303
"22/03/2020","Dept_01",260,302,217,264,259,313
"23/03/2020","Dept_01",270,316,230,278,276,331
"24/03/2020","Dept_01",279,329,244,293,289,345
"25/03/2020","Dept_01",288,342,255,306,298,356
"26/03/2020","Dept_01",302,358,266,319,308,366
"27/03/2020","Dept_01",311,376,275,331,321,382
"28/03/2020","Dept_01",321,389,289,352,330,394
"29/03/2020","Dept_01",331,407,299,363,344,412
"30/03/2020","Dept_01",346,429,313,380,361,429
"31/03/2020","Dept_01",364,452,318,388,373,443
"01/04/2020","Dept_01",374,469,329,400,382,455
"02/04/2020","Dept_01",384,486,341,414,398,471
"03/04/2020","Dept_01",400,503,352,427,407,481
"04/04/2020","Dept_01",415,522,367,445,416,490
"05/04/2020","Dept_01",426,536,375,454,423,499
"06/04/2020","Dept_01",438,554,389,470,437,515
"07/04/2020","Dept_01",464,583,402,485,456,534
"08/04/2020","Dept_01",480,601,406,492,469,548
"09/04/2020","Dept_01",497,626,418,504,481,561
"10/04/2020","Dept_01",503,634,428,517,490,575
"11/04/2020","Dept_01",512,645,431,522,500,588
"12/04/2020","Dept_01",524,660,442,533,506,595
"13/04/2020","Dept_01",540,679,448,540,514,606
"14/04/2020","Dept_01",550,694,458,551,524,624
"15/04/2020","Dept_01",564,710,465,559,532,634
"16/04/2020","Dept_01",572,723,478,574,543,646
"17/04/2020","Dept_01",579,733,492,588,555,660
"18/04/2020","Dept_01",587,746,497,597,567,672
"19/04/2020","Dept_01",601,765,504,610,581,688
"20/04/2020","Dept_01",616,783,516,626,593,701
"21/04/2020","Dept_01",627,796,529,639,609,719
"22/04/2020","Dept_01",637,807,541,652,622,733
"23/04/2020","Dept_01",646,817,554,666,630,742
"24/04/2020","Dept_01",661,833,561,676,639,753
"25/04/2020","Dept_01",671,843,573,688,651,767
"26/04/2020","Dept_01",681,853,585,702,656,773
"27/04/2020","Dept_01",693,866,595,715,664,782
"01/03/2020","Dept_02",19,23,14,16,15,18
"02/03/2020","Dept_02",30,39,24,29,29,35
"03/03/2020","Dept_02",46,57,36,43,52,62
"04/03/2020","Dept_02",56,70,51,60,69,81
"05/03/2020","Dept_02",73,88,66,76,94,107
"06/03/2020","Dept_02",85,104,83,97,121,137
"07/03/2020","Dept_02",108,131,94,110,134,154
"08/03/2020","Dept_02",122,146,118,135,153,180
"09/03/2020","Dept_02",133,162,128,145,171,198
"10/03/2020","Dept_02",146,180,145,163,192,220
"11/03/2020","Dept_02",168,205,159,177,213,246
"12/03/2020","Dept_02",179,218,174,192,232,268
"13/03/2020","Dept_02",189,229,182,202,257,293
"14/03/2020","Dept_02",209,253,200,223,275,314
"15/03/2020","Dept_02",229,276,211,236,294,338
"16/03/2020","Dept_02",249,297,220,248,309,359
"17/03/2020","Dept_02",276,326,234,264,332,386
"18/03/2020","Dept_02",297,350,246,276,342,399
"19/03/2020","Dept_02",320,374,272,306,360,419
"20/03/2020","Dept_02",340,397,285,322,377,436
"21/03/2020","Dept_02",355,413,292,331,396,459
"22/03/2020","Dept_02",376,439,303,346,417,481
"23/03/2020","Dept_02",393,458,316,365,427,494
"24/03/2020","Dept_02",414,481,326,376,442,512
"25/03/2020","Dept_02",437,513,340,392,455,528
"26/03/2020","Dept_02",457,535,351,404,465,540
"27/03/2020","Dept_02",475,555,367,421,476,551
"28/03/2020","Dept_02",498,580,384,443,485,563
"29/03/2020","Dept_02",514,599,398,459,496,574
"30/03/2020","Dept_02",534,620,414,476,511,591
"31/03/2020","Dept_02",553,642,425,488,526,609
"01/04/2020","Dept_02",580,671,440,506,540,625
"02/04/2020","Dept_02",605,698,449,518,550,639
"03/04/2020","Dept_02",625,726,458,531,564,655
"04/04/2020","Dept_02",650,754,467,542,578,671
"05/04/2020","Dept_02",681,788,485,562,585,681
"06/04/2020","Dept_02",713,827,493,573,598,695
"07/04/2020","Dept_02",733,851,508,589,608,711
"08/04/2020","Dept_02",754,874,521,604,621,726
"09/04/2020","Dept_02",775,899,534,618,631,740
"10/04/2020","Dept_02",808,934,542,626,646,757
"11/04/2020","Dept_02",828,957,550,636,660,774
"12/04/2020","Dept_02",847,978,560,647,677,793
"13/04/2020","Dept_02",869,1003,570,659,695,813
"14/04/2020","Dept_02",887,1023,586,675,714,833
"15/04/2020","Dept_02",910,1047,593,682,724,845
"16/04/2020","Dept_02",932,1069,607,701,741,865
"17/04/2020","Dept_02",956,1093,617,714,755,881
"18/04/2020","Dept_02",976,1114,633,732,771,899
"19/04/2020","Dept_02",989,1132,647,750,782,913
"20/04/2020","Dept_02",1007,1152,656,761,802,937
"21/04/2020","Dept_02",1025,1171,669,775,815,952
"22/04/2020","Dept_02",1043,1189,683,791,825,963
"23/04/2020","Dept_02",1068,1215,692,802,840,982
"24/04/2020","Dept_02",1081,1229,706,818,854,999
"25/04/2020","Dept_02",1094,1244,718,831,863,1011
"26/04/2020","Dept_02",1100,1250,734,849,872,1022
"27/04/2020","Dept_02",1119,1269,746,861,882,1034
"01/03/2020","Dept_03",7,10,17,22,5,7
"02/03/2020","Dept_03",24,27,30,36,19,22
"03/03/2020","Dept_03",41,44,41,50,30,35
"04/03/2020","Dept_03",53,57,50,62,47,57
"05/03/2020","Dept_03",67,74,64,79,66,80
"06/03/2020","Dept_03",76,85,73,91,80,97
"07/03/2020","Dept_03",87,100,88,109,91,113
"08/03/2020","Dept_03",93,108,97,118,110,135
"09/03/2020","Dept_03",107,123,112,134,121,147
"10/03/2020","Dept_03",117,137,122,147,133,161
"11/03/2020","Dept_03",131,154,137,166,147,182
"12/03/2020","Dept_03",144,167,145,174,154,189
"13/03/2020","Dept_03",150,174,157,189,167,206
"14/03/2020","Dept_03",160,185,170,206,174,216
"15/03/2020","Dept_03",168,194,185,222,183,226
"16/03/2020","Dept_03",176,202,200,241,197,240
"17/03/2020","Dept_03",186,213,215,257,208,254
"18/03/2020","Dept_03",195,225,223,267,222,271
"19/03/2020","Dept_03",204,236,240,287,235,285
"20/03/2020","Dept_03",216,250,252,302,247,300
"21/03/2020","Dept_03",224,259,266,318,256,311
"22/03/2020","Dept_03",233,270,274,326,266,324
"23/03/2020","Dept_03",243,280,285,338,276,336
"24/03/2020","Dept_03",251,288,298,353,284,345
"25/03/2020","Dept_03",264,305,308,363,300,362
"26/03/2020","Dept_03",280,323,321,378,316,380
"27/03/2020","Dept_03",288,334,329,390,325,390
"28/03/2020","Dept_03",298,346,337,400,334,401
"29/03/2020","Dept_03",310,358,347,411,344,411
"30/03/2020","Dept_03",320,371,355,421,348,417
"31/03/2020","Dept_03",328,382,369,438,355,426
"01/04/2020","Dept_03",337,393,381,451,368,441
"02/04/2020","Dept_03",345,402,396,467,380,454
"03/04/2020","Dept_03",353,412,405,479,396,470
"04/04/2020","Dept_03",372,435,414,492,411,486
"05/04/2020","Dept_03",386,451,425,506,424,501
"06/04/2020","Dept_03",396,464,434,516,435,514
"07/04/2020","Dept_03",409,481,442,526,448,528
"08/04/2020","Dept_03",424,498,453,538,461,545
"09/04/2020","Dept_03",437,513,464,553,473,562
"10/04/2020","Dept_03",452,529,473,563,480,571
"11/04/2020","Dept_03",464,542,483,574,493,585
"12/04/2020","Dept_03",476,555,496,589,499,595
"13/04/2020","Dept_03",494,576,503,598,508,606
"14/04/2020","Dept_03",502,585,513,609,524,623
"15/04/2020","Dept_03",516,601,520,617,539,638
"16/04/2020","Dept_03",525,613,527,626,551,652
"17/04/2020","Dept_03",532,621,537,638,566,669
"18/04/2020","Dept_03",544,634,543,648,574,679
"19/04/2020","Dept_03",561,652,551,662,579,685
"20/04/2020","Dept_03",569,661,558,672,592,701
"21/04/2020","Dept_03",583,676,565,681,606,719
"22/04/2020","Dept_03",594,688,577,694,615,730
"23/04/2020","Dept_03",601,696,589,708,621,737
"24/04/2020","Dept_03",610,706,604,724,632,748
"25/04/2020","Dept_03",623,720,612,734,642,761
"26/04/2020","Dept_03",631,730,618,741,650,772
"27/04/2020","Dept_03",635,734,627,751,665,790
"01/03/2020","Dept_04",6,7,2,2,11,11
"02/03/2020","Dept_04",9,12,5,7,17,17
"03/03/2020","Dept_04",14,17,13,15,24,24
"04/03/2020","Dept_04",19,24,18,20,28,29
"05/03/2020","Dept_04",22,28,26,29,32,34
"06/03/2020","Dept_04",27,34,35,39,41,43
"07/03/2020","Dept_04",34,42,41,46,49,51
"08/03/2020","Dept_04",35,43,45,51,56,58
"09/03/2020","Dept_04",45,53,53,59,69,71
"10/03/2020","Dept_04",51,60,56,66,75,79
"11/03/2020","Dept_04",57,67,65,75,82,87
"12/03/2020","Dept_04",66,76,71,83,84,90
"13/03/2020","Dept_04",68,80,74,86,95,104
"14/03/2020","Dept_04",71,84,77,90,100,109
"15/03/2020","Dept_04",74,87,83,97,105,115
"16/03/2020","Dept_04",79,93,88,102,108,119
"17/03/2020","Dept_04",82,96,94,109,114,126
"18/03/2020","Dept_04",86,100,99,115,117,130
"19/03/2020","Dept_04",91,106,101,119,124,138
"20/03/2020","Dept_04",97,113,102,121,131,145
"21/03/2020","Dept_04",101,118,106,127,134,148
"22/03/2020","Dept_04",103,120,109,130,139,153
"23/03/2020","Dept_04",108,125,113,134,141,155
"24/03/2020","Dept_04",115,132,118,142,143,158
"25/03/2020","Dept_04",122,141,123,148,149,165
"26/03/2020","Dept_04",123,143,130,157,158,175
"27/03/2020","Dept_04",127,148,136,163,165,182
"28/03/2020","Dept_04",132,154,144,171,175,192
"29/03/2020","Dept_04",136,158,149,176,178,199
"30/03/2020","Dept_04",139,161,152,181,182,206
"31/03/2020","Dept_04",146,168,155,185,190,214
"01/04/2020","Dept_04",150,174,157,189,193,218
"02/04/2020","Dept_04",154,178,164,197,197,223
"03/04/2020","Dept_04",157,183,166,199,202,229
"04/04/2020","Dept_04",164,190,170,203,208,235
"05/04/2020","Dept_04",167,193,174,208,211,239
"06/04/2020","Dept_04",173,200,179,215,214,243
"07/04/2020","Dept_04",180,208,182,218,218,247
"08/04/2020","Dept_04",182,210,188,225,226,258
"09/04/2020","Dept_04",188,218,191,229,230,264
"10/04/2020","Dept_04",190,221,193,231,233,267
"11/04/2020","Dept_04",194,225,199,237,236,270
"12/04/2020","Dept_04",196,227,203,241,239,273
"13/04/2020","Dept_04",199,231,206,245,246,281
"14/04/2020","Dept_04",203,235,211,250,248,283
"15/04/2020","Dept_04",205,239,211,250,252,287
"16/04/2020","Dept_04",208,243,213,252,258,293
"17/04/2020","Dept_04",211,246,217,256,263,298
"18/04/2020","Dept_04",214,250,221,260,270,306
"19/04/2020","Dept_04",220,259,223,264,272,310
"20/04/2020","Dept_04",226,265,226,267,277,315
"21/04/2020","Dept_04",234,274,231,272,282,322
"22/04/2020","Dept_04",241,282,233,274,288,328
"23/04/2020","Dept_04",247,288,237,278,290,330
"24/04/2020","Dept_04",250,292,240,283,296,336
"25/04/2020","Dept_04",253,296,245,288,303,344
"26/04/2020","Dept_04",257,300,248,291,305,349
"27/04/2020","Dept_04",262,305,251,295,311,356
"01/03/2020","Dept_05",1,1,4,5,3,4
"02/03/2020","Dept_05",5,5,8,11,8,10
"03/03/2020","Dept_05",6,7,14,17,14,17
"04/03/2020","Dept_05",12,14,18,22,19,22
"05/03/2020","Dept_05",16,19,23,29,24,27
"06/03/2020","Dept_05",19,23,26,33,30,33
"07/03/2020","Dept_05",20,26,28,36,33,38
"08/03/2020","Dept_05",21,29,30,38,36,41
"09/03/2020","Dept_05",23,32,32,42,42,47
"10/03/2020","Dept_05",24,35,35,46,43,49
"11/03/2020","Dept_05",27,38,41,53,47,55
"12/03/2020","Dept_05",33,44,47,59,52,62
"13/03/2020","Dept_05",35,46,49,64,55,65
"14/03/2020","Dept_05",36,47,50,66,58,68
"15/03/2020","Dept_05",38,51,53,71,61,71
"16/03/2020","Dept_05",42,55,58,77,63,73
"17/03/2020","Dept_05",43,56,60,79,63,74
"18/03/2020","Dept_05",44,57,63,83,65,77
"19/03/2020","Dept_05",49,64,65,86,66,78
"20/03/2020","Dept_05",53,71,68,89,72,85
"21/03/2020","Dept_05",58,76,69,90,74,90
"22/03/2020","Dept_05",60,79,70,91,78,94
"23/03/2020","Dept_05",62,83,72,93,85,102
"24/03/2020","Dept_05",63,85,74,95,90,107
"25/03/2020","Dept_05",67,90,79,101,98,115
"26/03/2020","Dept_05",72,95,84,106,100,117
"27/03/2020","Dept_05",74,98,91,113,103,120
"28/03/2020","Dept_05",79,104,96,118,110,128
"29/03/2020","Dept_05",81,106,99,125,110,130
"30/03/2020","Dept_05",87,112,100,126,111,133
"31/03/2020","Dept_05",94,120,103,130,113,135
"01/04/2020","Dept_05",99,125,104,131,115,138
"02/04/2020","Dept_05",102,128,108,135,117,140
"03/04/2020","Dept_05",104,131,111,139,122,145
"04/04/2020","Dept_05",107,138,112,140,126,149
"05/04/2020","Dept_05",108,140,114,143,129,152
"06/04/2020","Dept_05",109,141,117,146,133,156
"07/04/2020","Dept_05",112,145,118,147,135,159
"08/04/2020","Dept_05",114,148,122,152,138,162
"09/04/2020","Dept_05",117,151,128,158,140,164
"10/04/2020","Dept_05",120,154,131,161,145,169
"11/04/2020","Dept_05",122,156,134,164,150,174
"12/04/2020","Dept_05",125,163,138,168,155,179
"13/04/2020","Dept_05",130,168,140,171,159,185
"14/04/2020","Dept_05",134,172,142,173,165,192
"15/04/2020","Dept_05",137,175,146,178,169,196
"16/04/2020","Dept_05",140,178,151,184,172,200
"17/04/2020","Dept_05",142,182,155,189,173,201
"18/04/2020","Dept_05",144,185,161,195,179,207
"19/04/2020","Dept_05",147,189,165,199,182,210
"20/04/2020","Dept_05",148,191,168,203,187,215
"21/04/2020","Dept_05",150,193,172,210,189,217
"22/04/2020","Dept_05",151,194,174,212,192,221
"23/04/2020","Dept_05",155,198,180,219,195,225
"24/04/2020","Dept_05",157,200,184,223,200,230
"25/04/2020","Dept_05",161,205,187,226,203,234
"26/04/2020","Dept_05",161,207,194,235,208,239
"27/04/2020","Dept_05",163,210,198,240,212,243
"01/03/2020","Dept_06",30,30,42,42,33,35
"02/03/2020","Dept_06",62,63,77,77,81,87
"03/03/2020","Dept_06",95,96,113,115,120,126
"04/03/2020","Dept_06",135,137,157,159,157,164
"05/03/2020","Dept_06",174,176,196,198,183,190
"06/03/2020","Dept_06",211,213,233,236,216,224
"07/03/2020","Dept_06",241,244,264,268,264,273
"08/03/2020","Dept_06",267,270,304,308,306,315
"09/03/2020","Dept_06",310,313,339,343,352,363
"10/03/2020","Dept_06",347,350,374,378,391,402
"11/03/2020","Dept_06",385,389,411,415,419,431
"12/03/2020","Dept_06",423,428,449,453,451,464
"13/03/2020","Dept_06",455,461,485,489,484,497
"14/03/2020","Dept_06",485,492,504,508,529,542
"15/03/2020","Dept_06",521,529,536,540,561,576
"16/03/2020","Dept_06",554,563,572,576,596,611
"17/03/2020","Dept_06",593,602,605,609,639,655
"18/03/2020","Dept_06",634,643,648,652,668,684
"19/03/2020","Dept_06",683,692,691,695,694,711
"20/03/2020","Dept_06",715,724,718,723,740,758
"21/03/2020","Dept_06",752,762,759,764,776,794
"22/03/2020","Dept_06",783,795,795,800,818,836
"23/03/2020","Dept_06",824,837,829,834,848,866
"24/03/2020","Dept_06",865,878,860,866,879,897
"25/03/2020","Dept_06",897,910,885,892,915,934
"26/03/2020","Dept_06",940,953,921,928,951,970
"27/03/2020","Dept_06",978,991,949,957,986,1006
"28/03/2020","Dept_06",1018,1031,982,990,1029,1049
"29/03/2020","Dept_06",1058,1071,1008,1017,1071,1094
"30/03/2020","Dept_06",1102,1115,1040,1049,1096,1119
"31/03/2020","Dept_06",1142,1155,1072,1081,1123,1146
"01/04/2020","Dept_06",1175,1189,1114,1124,1152,1175
"02/04/2020","Dept_06",1220,1235,1145,1156,1179,1202
"03/04/2020","Dept_06",1270,1286,1182,1194,1211,1234
"04/04/2020","Dept_06",1308,1324,1208,1221,1249,1272
"05/04/2020","Dept_06",1348,1364,1245,1260,1284,1309
"06/04/2020","Dept_06",1380,1399,1278,1293,1315,1340
"07/04/2020","Dept_06",1419,1438,1311,1326,1341,1366
"08/04/2020","Dept_06",1459,1478,1337,1354,1376,1401
"09/04/2020","Dept_06",1498,1517,1367,1384,1404,1429
"10/04/2020","Dept_06",1537,1556,1403,1420,1429,1455
"11/04/2020","Dept_06",1564,1583,1428,1446,1464,1491
"12/04/2020","Dept_06",1602,1621,1459,1478,1488,1516
"13/04/2020","Dept_06",1637,1657,1485,1504,1516,1545
"14/04/2020","Dept_06",1674,1694,1515,1535,1535,1564
"15/04/2020","Dept_06",1706,1728,1535,1555,1565,1596
"16/04/2020","Dept_06",1747,1772,1568,1588,1593,1625
"17/04/2020","Dept_06",1782,1807,1595,1615,1632,1665
"18/04/2020","Dept_06",1813,1838,1623,1643,1658,1693
"19/04/2020","Dept_06",1849,1875,1651,1672,1698,1733
"20/04/2020","Dept_06",1882,1908,1688,1709,1731,1766
"21/04/2020","Dept_06",1913,1939,1733,1755,1758,1793
"22/04/2020","Dept_06",1941,1967,1766,1788,1788,1823
"23/04/2020","Dept_06",1974,2001,1801,1824,1817,1852
"24/04/2020","Dept_06",2012,2039,1829,1854,1857,1893
"25/04/2020","Dept_06",2052,2079,1860,1887,1884,1922
"26/04/2020","Dept_06",2081,2108,1888,1915,1923,1961
"27/04/2020","Dept_06",2107,2134,1926,1954,1956,1995
"01/03/2020","Dept_07",10,11,11,12,5,6
"02/03/2020","Dept_07",22,24,19,21,20,22
"03/03/2020","Dept_07",31,34,24,26,31,33
"04/03/2020","Dept_07",36,42,31,34,40,44
"05/03/2020","Dept_07",48,55,42,45,49,58
"06/03/2020","Dept_07",53,61,47,50,64,75
"07/03/2020","Dept_07",62,72,56,62,76,87
"08/03/2020","Dept_07",72,83,67,74,87,98
"09/03/2020","Dept_07",82,95,77,88,100,111
"10/03/2020","Dept_07",89,102,84,96,109,121
"11/03/2020","Dept_07",102,115,98,110,120,133
"12/03/2020","Dept_07",107,123,106,119,127,144
"13/03/2020","Dept_07",114,131,112,125,135,153
"14/03/2020","Dept_07",124,141,117,134,143,162
"15/03/2020","Dept_07",139,157,123,143,162,183
"16/03/2020","Dept_07",144,162,126,147,171,193
"17/03/2020","Dept_07",150,169,136,158,188,215
"18/03/2020","Dept_07",164,183,147,169,195,224
"19/03/2020","Dept_07",174,195,154,178,206,236
"20/03/2020","Dept_07",184,207,163,187,216,246
"21/03/2020","Dept_07",196,221,172,197,226,258
"22/03/2020","Dept_07",210,238,181,207,235,268
"23/03/2020","Dept_07",219,247,189,216,245,285
"24/03/2020","Dept_07",234,263,200,229,259,300
"25/03/2020","Dept_07",257,287,208,237,269,310
"26/03/2020","Dept_07",274,306,217,248,278,320
"27/03/2020","Dept_07",285,321,223,259,283,326
"28/03/2020","Dept_07",294,332,234,273,287,331
"29/03/2020","Dept_07",310,349,240,281,296,341
"30/03/2020","Dept_07",322,362,247,289,300,347
"31/03/2020","Dept_07",334,375,255,298,304,354
"01/04/2020","Dept_07",354,395,262,306,314,367
"02/04/2020","Dept_07",368,410,270,315,322,378
"03/04/2020","Dept_07",385,428,276,325,328,384
"04/04/2020","Dept_07",394,438,289,339,338,394
"05/04/2020","Dept_07",408,454,298,349,348,404
"06/04/2020","Dept_07",418,465,309,361,357,414
"07/04/2020","Dept_07",434,487,315,367,366,424
"08/04/2020","Dept_07",457,513,323,375,375,435
"09/04/2020","Dept_07",473,530,331,385,385,445
"10/04/2020","Dept_07",482,542,338,395,393,454
"11/04/2020","Dept_07",489,550,348,405,408,470
"12/04/2020","Dept_07",503,565,360,419,416,481
"13/04/2020","Dept_07",518,580,373,432,420,488
"14/04/2020","Dept_07",531,594,387,448,426,495
"15/04/2020","Dept_07",542,608,396,457,437,507
"16/04/2020","Dept_07",551,617,405,466,446,517
"17/04/2020","Dept_07",563,630,415,479,457,529
"18/04/2020","Dept_07",573,640,423,487,466,538
"19/04/2020","Dept_07",580,649,429,494,473,546
"20/04/2020","Dept_07",593,663,438,505,480,553
"21/04/2020","Dept_07",604,675,451,521,487,561
"22/04/2020","Dept_07",620,694,459,530,494,569
"23/04/2020","Dept_07",630,706,464,536,503,578
"24/04/2020","Dept_07",635,714,470,543,511,589
"25/04/2020","Dept_07",642,721,477,551,521,600
"26/04/2020","Dept_07",652,731,484,558,529,610
"27/04/2020","Dept_07",661,740,491,565,537,620
"01/03/2020","Dept_08",7,8,5,6,10,11
"02/03/2020","Dept_08",16,18,12,13,15,18
"03/03/2020","Dept_08",20,25,20,22,28,31
"04/03/2020","Dept_08",27,32,30,32,37,40
"05/03/2020","Dept_08",31,37,35,39,44,49
"06/03/2020","Dept_08",39,46,45,50,52,60
"07/03/2020","Dept_08",46,53,51,57,56,66
"08/03/2020","Dept_08",53,60,56,62,71,81
"09/03/2020","Dept_08",58,65,63,69,83,95
"10/03/2020","Dept_08",62,71,65,72,92,105
"11/03/2020","Dept_08",72,85,70,77,101,116
"12/03/2020","Dept_08",80,93,76,83,105,121
"13/03/2020","Dept_08",87,102,79,87,110,126
"14/03/2020","Dept_08",98,114,83,91,114,130
"15/03/2020","Dept_08",104,121,91,100,120,138
"16/03/2020","Dept_08",111,131,95,105,130,149
"17/03/2020","Dept_08",121,143,102,115,146,166
"18/03/2020","Dept_08",128,150,107,121,152,175
"19/03/2020","Dept_08",135,160,116,130,160,183
"20/03/2020","Dept_08",140,165,122,136,164,192
"21/03/2020","Dept_08",149,174,130,146,169,198
"22/03/2020","Dept_08",152,177,136,152,180,209
"23/03/2020","Dept_08",159,186,139,155,193,225
"24/03/2020","Dept_08",166,193,147,165,201,233
"25/03/2020","Dept_08",175,202,156,174,209,244
"26/03/2020","Dept_08",177,204,161,179,215,251
"27/03/2020","Dept_08",182,212,171,189,221,259
"28/03/2020","Dept_08",187,217,176,195,228,267
"29/03/2020","Dept_08",191,221,185,206,232,271
"30/03/2020","Dept_08",196,226,198,220,240,280
"31/03/2020","Dept_08",203,235,205,230,242,282
"01/04/2020","Dept_08",208,240,212,239,250,292
"02/04/2020","Dept_08",218,250,218,246,255,299
"03/04/2020","Dept_08",226,259,220,248,265,309
"04/04/2020","Dept_08",233,267,224,252,274,319
"05/04/2020","Dept_08",243,280,231,263,280,326
"06/04/2020","Dept_08",254,292,235,269,287,334
"07/04/2020","Dept_08",264,303,243,277,292,339
"08/04/2020","Dept_08",273,313,246,281,303,351
"09/04/2020","Dept_08",284,325,252,288,308,356
"10/04/2020","Dept_08",289,331,259,295,317,365
"11/04/2020","Dept_08",301,344,261,298,326,374
"12/04/2020","Dept_08",307,350,268,306,332,380
"13/04/2020","Dept_08",315,359,276,315,338,386
"14/04/2020","Dept_08",318,364,284,324,346,394
"15/04/2020","Dept_08",329,376,290,331,351,399
"16/04/2020","Dept_08",333,382,292,333,357,406
"17/04/2020","Dept_08",343,394,296,339,365,416
"18/04/2020","Dept_08",355,407,304,348,370,421
"19/04/2020","Dept_08",365,417,314,358,377,428
"20/04/2020","Dept_08",373,425,318,363,384,436
"21/04/2020","Dept_08",379,433,325,371,392,444
"22/04/2020","Dept_08",384,438,333,380,397,450
"23/04/2020","Dept_08",389,445,337,385,404,457
"24/04/2020","Dept_08",395,452,342,393,410,465
"25/04/2020","Dept_08",405,463,352,405,413,468
"26/04/2020","Dept_08",412,471,357,412,419,475
"27/04/2020","Dept_08",421,484,362,417,421,479
"01/03/2020","Dept_09",3,4,4,4,5,6
"02/03/2020","Dept_09",9,10,7,8,11,14
"03/03/2020","Dept_09",14,15,14,16,15,18
"04/03/2020","Dept_09",25,26,19,23,20,23
"05/03/2020","Dept_09",29,30,21,27,22,25
"06/03/2020","Dept_09",30,32,24,30,27,31
"07/03/2020","Dept_09",32,35,31,39,30,34
"08/03/2020","Dept_09",35,38,34,43,33,38
"09/03/2020","Dept_09",37,40,39,49,37,43
"10/03/2020","Dept_09",42,45,45,56,39,46
"11/03/2020","Dept_09",45,48,46,57,41,51
"12/03/2020","Dept_09",49,54,47,61,48,62
"13/03/2020","Dept_09",52,57,50,65,51,65
"14/03/2020","Dept_09",57,62,53,69,54,72
"15/03/2020","Dept_09",62,67,59,78,55,73
"16/03/2020","Dept_09",69,75,64,83,65,83
"17/03/2020","Dept_09",73,79,67,86,71,91
"18/03/2020","Dept_09",75,82,72,91,72,93
"19/03/2020","Dept_09",78,86,78,98,77,98
"20/03/2020","Dept_09",81,90,80,102,80,102
"21/03/2020","Dept_09",82,91,84,107,86,109
"22/03/2020","Dept_09",83,92,86,109,91,116
"23/03/2020","Dept_09",87,97,90,115,94,121
"24/03/2020","Dept_09",90,100,91,116,99,128
"25/03/2020","Dept_09",93,103,94,119,102,134
"26/03/2020","Dept_09",95,105,97,123,104,137
"27/03/2020","Dept_09",100,111,101,127,108,141
"28/03/2020","Dept_09",107,120,107,134,112,145
"29/03/2020","Dept_09",110,124,114,142,114,148
"30/03/2020","Dept_09",114,128,118,147,118,154
"31/03/2020","Dept_09",119,133,123,153,126,164
"01/04/2020","Dept_09",123,139,126,157,129,168
"02/04/2020","Dept_09",129,145,132,166,130,170
"03/04/2020","Dept_09",133,149,134,169,134,175
"04/04/2020","Dept_09",141,161,138,176,135,177
"05/04/2020","Dept_09",144,164,139,178,138,181
"06/04/2020","Dept_09",146,167,143,184,141,186
"07/04/2020","Dept_09",147,171,147,188,144,191
"08/04/2020","Dept_09",150,176,151,195,145,194
"09/04/2020","Dept_09",153,179,154,199,147,197
"10/04/2020","Dept_09",158,184,155,201,150,200
"11/04/2020","Dept_09",161,189,163,209,153,204
"12/04/2020","Dept_09",164,193,165,216,160,213
"13/04/2020","Dept_09",174,204,168,219,161,215
"14/04/2020","Dept_09",179,209,172,225,166,220
"15/04/2020","Dept_09",182,214,175,228,172,228
"16/04/2020","Dept_09",189,221,177,232,173,229
"17/04/2020","Dept_09",194,226,182,237,178,236
"18/04/2020","Dept_09",196,229,183,239,183,243
"19/04/2020","Dept_09",198,231,189,246,187,250
"20/04/2020","Dept_09",205,238,194,252,194,257
"21/04/2020","Dept_09",210,243,194,253,199,263
"22/04/2020","Dept_09",215,248,197,259,201,266
"23/04/2020","Dept_09",220,253,203,265,207,272
"24/04/2020","Dept_09",224,258,205,267,210,276
"25/04/2020","Dept_09",227,261,212,275,213,280
"26/04/2020","Dept_09",228,263,216,279,219,287
"27/04/2020","Dept_09",231,267,219,282,222,290
"01/03/2020","Dept_10",8,10,8,8,11,11
"02/03/2020","Dept_10",15,17,17,18,22,23
"03/03/2020","Dept_10",19,22,24,25,32,34
"04/03/2020","Dept_10",25,28,34,35,35,38
